Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
541;15-17 RUE EMILE DUPLOYE;75018;Paris;2005;PARIS HAB;6;0;6;0;0;construction neuve;;18;logement familial;652714.6988;6865670.304;"{""type"": ""Point"", ""coordinates"": [2.355143589838966, 48.88930722057817]}";48.8893072206,2.35514358984
545;94 RUE DE CHARONNE;75011;Paris;2005;IMM 3F;300;120;90;0;90;acquisition réhabilitation;;11;résidence sociale pour démuni;654705.9524;6861729.508;"{""type"": ""Point"", ""coordinates"": [2.382718431717193, 48.8540115477527]}";48.8540115478,2.38271843172
547;22-24-26, PASSAGE DU MONT CENIS;75018;Paris;2005;SIEMP;8;0;8;0;0;construction neuve;;18;logement familial;652020.7316;6866558.608;"{""type"": ""Point"", ""coordinates"": [2.3455795986878663, 48.897244044744546]}";48.8972440447,2.34557959869
332;61-63, RUE D'AVRON;75020;Paris;2004;LOGIREP;105;0;55;0;50;construction neuve;;20;logement familial;656198.8667;6861522.85;"{""type"": ""Point"", ""coordinates"": [2.403084840490487, 48.85225630330387]}";48.8522563033,2.40308484049
342;LOT J2 - 64, RUE DES VIGNOLES  - 54-58, RUE DE LA REUNION;75020;Paris;2004;SAGI;4;0;4;0;0;acquisition réhabilitation;;20;logement familial;656089.6075;6861856.005;"{""type"": ""Point"", ""coordinates"": [2.40156152136037, 48.8552449204139]}";48.8552449204,2.40156152136
50;129 BD NEY;75018;Paris;2001;RIVP;69;0;0;0;69;acquisition conventionnement;;18;logement familial;651090.569;6866596.543;"{""type"": ""Point"", ""coordinates"": [2.332888733557419, 48.89751518058771]}";48.8975151806,2.33288873356
187;216 - 218 - 220, RUE SAINT MARTIN;75003;Paris;2002;PARIS HAB;27;0;27;0;0;acquisition réhabilitation;;3;logement familial;652526.1302;6862838.47;"{""type"": ""Point"", ""coordinates"": [2.352888573212756, 48.86382738440759]}";48.8638273844,2.35288857321
203;8-10, RUE LISFRANC;75020;Paris;2003;LOG.FR.;11;0;0;0;11;acquisition conventionnement;;20;logement familial;656143.7129;6862579.554;"{""type"": ""Point"", ""coordinates"": [2.402224225697448, 48.861755435607456]}";48.8617554356,2.4022242257
205;8-10, RUE DU TEXEL;75014;Paris;2003;ELOGIE;28;7;21;0;0;acquisition conventionnement;;14;logement familial;650068.7573;6859858.349;"{""type"": ""Point"", ""coordinates"": [2.319743938408835, 48.83684158085845]}";48.8368415809,2.31974393841
207;14, RUE DESCARTES;75005;Paris;2003;PARIS HAB;4;0;4;0;0;acquisition réhabilitation;;5;logement familial;652207.3381;6860970.619;"{""type"": ""Point"", ""coordinates"": [2.34875332919363, 48.847006389678214]}";48.8470063897,2.34875332919
208;35-37, RUE DE LA TOUR D'AUVERGNE;75009;Paris;2003;PARIS HAB;25;0;25;0;0;acquisition réhabilitation;;9;logement familial;651735.4381;6864584.334;"{""type"": ""Point"", ""coordinates"": [2.341912895948349, 48.87946878723798]}";48.8794687872,2.34191289595
307;45-47 RUE DUHESME;75018;Paris;2004;SAGECO;3;0;3;0;0;acquisition réhabilitation;;18;logement familial;651661.7916;6865988.951;"{""type"": ""Point"", ""coordinates"": [2.34074887852746, 48.89209450380633]}";48.8920945038,2.34074887853
94;17 RUE CACHEUX;75013;Paris;2002;SAGECO;34;0;34;0;0;acquisition conventionnement;;13;logement familial;651989.6911;6858014.845;"{""type"": ""Point"", ""coordinates"": [2.346121218040457, 48.820408682368104]}";48.8204086824,2.34612121804
100;15-21, RUE DES NANETTES;75011;Paris;2002;ELOGIE;78;12;40;0;26;acquisition conventionnement;;11;logement familial;654795.6024;6862899.685;"{""type"": ""Point"", ""coordinates"": [2.383815716309988, 48.86454114476761]}";48.8645411448,2.38381571631
131;7-7 BIS, RUE TRETAIGNE;75018;Paris;2002;LOG.FR.;42;0;42;0;0;acquisition conventionnement;;18;logement familial;651756.5758;6865952.294;"{""type"": ""Point"", ""coordinates"": [2.34204567989629, 48.89177197119016]}";48.8917719712,2.3420456799
